"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0qynC1yRTNWI7JEsKV9dwg","These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Acoustic","spotify:artist:4WN5naL3ofxrVBgFpguzKo, spotify:artist:4ScCswdRlyA23odg9thgIO, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:2U3FuHYvL3vhkbDAXm24Ep","Rudimental, Jess Glynne, Macklemore, Dan Caplen","spotify:album:5Q41hlQpul1txWWurdTHtY","These Days (feat. Jess Glynne, Macklemore & Dan Caplen) [Acoustic]","spotify:artist:4WN5naL3ofxrVBgFpguzKo, spotify:artist:4ScCswdRlyA23odg9thgIO, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY","Rudimental, Jess Glynne, Macklemore","2018-02-16","https://i.scdn.co/image/ab67616d0000b2731e0f8284a6b77f174bb58e77","1","1","212692","https://p.scdn.co/mp3-preview/9fef0846e5aa6a5f783d36696f585633131deff9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAHS1800044","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:4lHQCzdK3VdYQvQZnnRouG","Alone Again (Naturally)","spotify:artist:4HVmeVTQBgvTuvjB1JYwaf","Gilbert O'Sullivan","spotify:album:7EZeSlS7lupfVVaZXGXVUs","Back to Front (Deluxe Edition)","spotify:artist:4HVmeVTQBgvTuvjB1JYwaf","Gilbert O'Sullivan","1972-01-01","https://i.scdn.co/image/ab67616d0000b2732a17bb450e1326dbac8a456d","1","15","216840","https://p.scdn.co/mp3-preview/d24e950fdaba5d5a1db720a8eb2268378cc86e6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBEQJ0400002","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:27hhIs2fp6w06N5zx4Eaa5","Dream A Little Dream Of Me","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","spotify:album:0JJMI060q086v9ul5gHdey","The Papas & The Mamas","spotify:artist:1bs7HoMkSyQwcobCpE9KpN","The Mamas & The Papas","1968-05-01","https://i.scdn.co/image/ab67616d0000b2736a7ffb7ecffe490b3abd82af","1","5","194426","https://p.scdn.co/mp3-preview/f523968fb964de89b0e7ac1b2bde13c03b3bd746?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USMC16846393","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:6J3HNhDBIwEX11bX8hzx5u","Colors","spotify:artist:6eU0jV2eEZ8XTM7EmlguK6","Black Pumas","spotify:album:3g8HE8pB8nq6DbHf71I2Wa","Black Pumas","spotify:artist:6eU0jV2eEZ8XTM7EmlguK6","Black Pumas","2019-06-21","https://i.scdn.co/image/ab67616d0000b273975cd7f3dbcbb6f713de7e7b","1","2","246586","https://p.scdn.co/mp3-preview/9cb03868eb1cad0b18ade89107302a758cb89b98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USATO1900023","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:70oZtMOR5FDMlcV4w0dfhi","Dynamite","spotify:artist:5Hc9oDGvStNGmnj44m8sHg","Tyler Ward","spotify:album:0VDlt3vXhTVgkhX6OpPtgQ","Covers Vol. 3","spotify:artist:5Hc9oDGvStNGmnj44m8sHg","Tyler Ward","2011-06-01","https://i.scdn.co/image/ab67616d0000b273039d28f7753eec3883221e20","1","2","165101","https://p.scdn.co/mp3-preview/68806332a3d68f8a8ecf8346bf7f6436a8c9d82d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBDMT0801229","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:7GDOZ3UrVXDnpqV6Jxjb8h","Condemned","spotify:artist:1mbH1NPzRXV9lSPmjpwCwo","Fljúga","spotify:album:0wsJKa13qYyD2npI2cbLS8","Condemned","spotify:artist:1mbH1NPzRXV9lSPmjpwCwo","Fljúga","2020-03-10","https://i.scdn.co/image/ab67616d0000b273395496e1beb659a861364134","1","1","221440","https://p.scdn.co/mp3-preview/233862e82b0dcc450ef2ef52c2aef1d2611d4600?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","TCAER2076651","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:1wJNpWv8GbyEVAxoxlf3gT","Losing My Religion (Cover)","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","spotify:album:2G0bWocjlwYUOkO57TwrIs","Sunday Night Sessions","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","2017-07-02","https://i.scdn.co/image/ab67616d0000b2733b4e5451a188f72ef5b6c11a","1","9","283734","https://p.scdn.co/mp3-preview/70c7ac9c034710a13f25026813bef7ab9f1fa3a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBMQN1600075","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:6TqDrmjUDqQo4JiF1apQnL","Summertime Sadness (Acoustic Cover) feat. Keelan Donovan","spotify:artist:09kCHZp9iFO2FJNb9lR6G5, spotify:artist:4dOtX7sKkyguhRj1Gkvvl7","Megan Davies, Keelan Donovan","spotify:album:0NXkGd9M9rDxCHTGVvzC66","Summertime Sadness (Acoustic Cover) feat. Keelan Donovan","spotify:artist:09kCHZp9iFO2FJNb9lR6G5","Megan Davies","2014-07-17","https://i.scdn.co/image/ab67616d0000b2734bc7da1aa506458eb2574856","1","1","231013","https://p.scdn.co/mp3-preview/e368161c581227fef5e3cddfaa1229a0d06202d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","QMPKX1453921","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:0QX03P89kiZIdg1h2UYERo","If You Stay","spotify:artist:1rQ2ssALv6BirzJJxwETXO","Alex Hepburn","spotify:album:2ptUS7vVvBKOD5PUSXZsGi","Things I've Seen","spotify:artist:1rQ2ssALv6BirzJJxwETXO","Alex Hepburn","2019-04-19","https://i.scdn.co/image/ab67616d0000b27330eea8726fa8aa21ff0bb389","1","6","194573","https://p.scdn.co/mp3-preview/865cec7e67d3ba0a6371509dca9515a51bd859dd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","FRZ041800529","spotify:user:toshmurph","2022-05-12T14:26:02Z"
"spotify:track:6Apie9WiGFFyC9JBwGubtE","What You Mean to Me","spotify:artist:3WGOErkjiY0BaAcssRZKan","Kaach","spotify:album:6uYZOvB362MkuUBcffsxqh","What You Mean to Me","spotify:artist:3WGOErkjiY0BaAcssRZKan","Kaach","2021-03-26","https://i.scdn.co/image/ab67616d0000b27314fc5e6d33ad27a8883ac544","1","1","184000","https://p.scdn.co/mp3-preview/1767c0efcad1f05a87f51168536578df41ce0d76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","TCAFI2183045","spotify:user:toshmurph","2022-05-12T14:26:02Z"
