"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6eCxbfPngmMvJjnJxyBcDg","Silhouette","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","spotify:album:57263zG8Md6XZ9lBUPPYCm","NO THANK YOU","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2022-12-12","https://i.scdn.co/image/ab67616d0000b27372f48f1e2e04cc76d06ee708","1","3","393280","https://p.scdn.co/mp3-preview/528101d9cb7700cba8907abf46c1d2bb62e12a34?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","QMFME2257575","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:4TQYdFRCYW7QH0vwmYYt97","Ali","spotify:artist:1zkKkDDra0jlsiJYz57P3P","Mustafa","spotify:album:0iPWPiOsdGaWgcy9RMpvXw","When Smoke Rises","spotify:artist:1zkKkDDra0jlsiJYz57P3P","Mustafa","2021-05-28","https://i.scdn.co/image/ab67616d0000b273d72697075184379305b75bb5","1","6","192167","https://p.scdn.co/mp3-preview/b3324108b9926bd10348fe540686459a8cba82cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","UK7MC2000118","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:1lvAcFGSV2EyhRy5vKHr5I","Altitude","spotify:artist:0Pv1zES3REvZ4OuYrW2tGc","Duvchi","spotify:album:5heo23nbd8YDXA10y3Ftjh","Altitude","spotify:artist:0Pv1zES3REvZ4OuYrW2tGc","Duvchi","2020-08-28","https://i.scdn.co/image/ab67616d0000b273278ca59a4b13b22adcce042c","1","1","177757","https://p.scdn.co/mp3-preview/47c4270e6aa2190f710d36841bc701c479acc8e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","GBPVV2003171","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:2zVrLytKx27IRgaXs4B7lM","Beat 100","spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N, spotify:artist:72udTJKu1pGovvS9aCYGMI, spotify:artist:2oofDquWt9tMCETKAHmhlG, spotify:artist:6CZN3MHeeEXh5PxKZivIa8","Benny Sings, Marc Rebillet, Mocky, Cola Boyy","spotify:album:5xQ1R1NUMoANjEoWMvis7F","Beat Tape II","spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N","Benny Sings","2021-12-10","https://i.scdn.co/image/ab67616d0000b2733b4664d87d3ed38018102dc8","1","3","151188","https://p.scdn.co/mp3-preview/0ba39e51c91ccf7e08390bed0a7f792f44b712cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","NLX5C2100003","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:0RVJGI35nVNlRqJMlIYOe4","Cigars (feat. Alfie Neale & Jarki Monno)","spotify:artist:7ncd26zzbpqgZRroBKmReO, spotify:artist:3kMEpQS5iaBwIvrudhKYmG, spotify:artist:7Md7xD1AXk3BJ5Jl21H7fg","edbl, Alfie Neale, Jarki Monno","spotify:album:5p9gflqMka80oxLg9PsKmX","Cigars","spotify:artist:7ncd26zzbpqgZRroBKmReO, spotify:artist:3kMEpQS5iaBwIvrudhKYmG, spotify:artist:7Md7xD1AXk3BJ5Jl21H7fg","edbl, Alfie Neale, Jarki Monno","2020-09-16","https://i.scdn.co/image/ab67616d0000b2738573d2cebd307f01afb25781","1","1","197036","https://p.scdn.co/mp3-preview/ea4bea616fb237d260429bfb4eff641ceacaf2e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","UKW3Z2000241","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:4aAJQjtjZQXKFEHIpZEJCj","I See You","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","spotify:album:4nOym5RKE8Opauf3rMxPAW","Sometimes I Might Be Introvert","spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Little Simz","2021-09-03","https://i.scdn.co/image/ab67616d0000b273aede85ed28c2237a33b63dba","1","10","238026","https://p.scdn.co/mp3-preview/8b884d56346adcc8dfc735b54f6ebce490b25614?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","GBWWP2106845","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:1Yd7meWF4xNR13vys5IpUh","What Do You Say (Move It Baby)","spotify:artist:2GHclqNVjqGuiE5mA7BEoc, spotify:artist:4O36cq71Cq7NazopFLBMmb","Common, PJ","spotify:album:1ox4vPb5vQvWwATPX8RTZh","A Beautiful Revolution (Pt 1)","spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Common","2020-10-30","https://i.scdn.co/image/ab67616d0000b273351b3a5f138f4809bde83ca4","1","4","242346","https://p.scdn.co/mp3-preview/03993a4c3fa0d142e704f13ee79bfe92b6a1103a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USC4R2004557","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:554ZfWyv7HSh8AwjsNRmLM","Paramount","spotify:artist:7KGI0OwY8iAL5rI5p47YyK","Tora","spotify:album:5H9SCsdObXs7uvVthC0rhq","Can't Buy the Mood","spotify:artist:7KGI0OwY8iAL5rI5p47YyK","Tora","2019-08-09","https://i.scdn.co/image/ab67616d0000b2731259d832df4fe55e1b342207","1","6","176013","https://p.scdn.co/mp3-preview/b098b674a99f35bed1289090e85328b3447b77d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","AUOPK1700034","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:7lv2uSWG8eJGiHssAlMQ12","Golden Ticket (feat. Masego & Common)","spotify:artist:5sKvgmG84C0bIMWeS2SRPr, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig, spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Brasstracks, Masego, Common","spotify:album:0iOLQnizNBBrvLbvmdUPF6","Golden Ticket","spotify:artist:5sKvgmG84C0bIMWeS2SRPr","Brasstracks","2020-08-21","https://i.scdn.co/image/ab67616d0000b2736a1bf6dc70be997858a52f08","1","11","218786","https://p.scdn.co/mp3-preview/cffb096187d4076112e4e6f6bf83684605c25ccd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","USUM72010240","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:5x3v1Td2EkrUJfscZdb6zJ","Got My Back","spotify:artist:4DtUsfaVQBhypuwYmobdSm, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","RIMON, Denzel Curry","spotify:album:0d7p7ZqUrprI71laQ7Dvlr","I Shine, U Shine","spotify:artist:4DtUsfaVQBhypuwYmobdSm","RIMON","2020-05-14","https://i.scdn.co/image/ab67616d0000b273c98b37e724b621008e60a0e2","1","4","204901","https://p.scdn.co/mp3-preview/f28cb0525e87079c5f9cb5328e517e4a7c85834c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","USUYG1303951","spotify:user:","2023-08-15T10:05:21Z"
