"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:6rIbiUMmZJfqJRnXhVxFvg","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-08","https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094","1","4","204280","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","AULI01385760","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:62aP9fBQKYKxi7PDXwcUAS","ily (i love you baby) (feat. Emilee)","spotify:artist:1lmU3giNF3CSbkVSQmLpHQ, spotify:artist:4ArPQ1Opcksbbf3CPwEjWE","Surf Mesa, Emilee","spotify:album:4MHHajvRTUHItDsvfdIC8B","ily (i love you baby) (feat. Emilee)","spotify:artist:1lmU3giNF3CSbkVSQmLpHQ","Surf Mesa","2019-11-26","https://i.scdn.co/image/ab67616d0000b273b3de5764cc02f94714487c86","1","1","176546","https://p.scdn.co/mp3-preview/fa4dbefb15d4ca98324066312e0e5250b2c4fd1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","QZJRC1945204","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:0yLdNVWF3Srea0uzk55zFn","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7I0tjwFtxUwBC1vgyeMAax","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2023-01-13","https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d","1","1","200454","","false","88","USSM12209777","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:4Dvkj6JhhA12EX05fT7y2e","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","4","167303","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USSM12200612","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:5uSFGgIfHMT3osrAd9n9ym","Forget Me","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","spotify:album:50IWCes196EP2nWO6i4I67","Forget Me","spotify:artist:4GNC7GD6oZMSxPGyXy4MNB","Lewis Capaldi","2022-09-09","https://i.scdn.co/image/ab67616d0000b273711fab3ee0bbeddfac44d7d6","1","1","203472","","false","52","DEUM72204717","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg","Eyes Closed","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:2WFFcvzM0CgLaSq4MSkyZk","- (Deluxe)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2023-05-05","https://i.scdn.co/image/ab67616d0000b273a0aea3805ed6a87aa394c796","1","3","194848","https://p.scdn.co/mp3-preview/7cd2576f2d27799fe8c515c4e0fc880870a5cc88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAHS2201304","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:5odlY52u43F5BjByhxg7wg","golden hour","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","spotify:album:69AaAkdktFGnk9POmHENkT","this is what ____ feels like (Vol. 1-4)","spotify:artist:164Uj4eKjl6zTBKfJLFKKK","JVKE","2022-09-23","https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954","1","3","209259","https://p.scdn.co/mp3-preview/bcc17f30841d6fbf3cd7954c3e3cf669f11b6a21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBKPL2204171","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:0WtM2NBVQNNJLh6scP13H8","Calm Down (with Selena Gomez)","spotify:artist:46pWGuE3dSwY3bMMXGBvVS, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Rema, Selena Gomez","spotify:album:2b2GHWESCWEuHiCZ2Skedp","Calm Down (with Selena Gomez)","spotify:artist:46pWGuE3dSwY3bMMXGBvVS, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Rema, Selena Gomez","2022-08-25","https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf","1","1","239317","https://p.scdn.co/mp3-preview/b61b32e2928081fc98d438fd8c72919ab4fb12a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","NGA3B2214021","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","Sweater Weather","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","spotify:album:4xkM0BwLM9H2IUcbYzpcBI","I Love You.","spotify:artist:77SW9BnxLY8rJ0RciFqkHh","The Neighbourhood","2013-04-19","https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921","1","4","240400","https://p.scdn.co/mp3-preview/877602f424a9dea277b13301ffc516f9fd1fbe7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USSM11300080","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
"spotify:track:7c35Ovi5oYVBFQnvpNNgTf","Shape Of You","spotify:artist:4TwUyusgsQc4Pfr6GlEd5V","Cookie Crumble","spotify:album:0l7tZu4RXkhtFuU56Y9IoN","Shape Of You","spotify:artist:4TwUyusgsQc4Pfr6GlEd5V","Cookie Crumble","2023-06-01","https://i.scdn.co/image/ab67616d0000b273e403527ce32381ac90472b7f","1","1","153326","https://p.scdn.co/mp3-preview/be4d7dfc85e4d991deb8a69eb1171351b43f9990?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","GX8LE2344720","spotify:user:43xzlwfo0tft7hn5r5e6dksrd","2023-08-16T18:57:08Z"
