"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6wgut7kOpJaVp3ge69Noou","Vienna","spotify:artist:4xdEmbimxXyo9wXy9lq3ek","Gretta Ray","spotify:album:6jNeC1ZND8Cd5GzetoprLH","Vienna","spotify:artist:4xdEmbimxXyo9wXy9lq3ek","Gretta Ray","2022-05-06","https://i.scdn.co/image/ab67616d0000b273983f30959c09894ff7ac4ec6","1","1","163209","https://p.scdn.co/mp3-preview/74ef285af3eb190570caf7674ec9fb890c9c2650?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","AU2DY2200132","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:4zlqaEHnAle2taqwBbp9ZH","You're Somebody Else","spotify:artist:6GpcBKNmZDIrRzYkPJu7Wd","flora cash","spotify:album:6uX6tLDnj6Q4ptrzK0mtR3","Nothing Lasts Forever (And It's Fine)","spotify:artist:6GpcBKNmZDIrRzYkPJu7Wd","flora cash","2017-04-21","https://i.scdn.co/image/ab67616d0000b27380352ed7db9dbe30df981a99","1","2","218883","https://p.scdn.co/mp3-preview/7e086d7e2948f3a59fa22bcda8f98ccef319d983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","SEXCG1700102","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:00Sx0hkJQi0sZgvcDxaCdu","Take My Heart","spotify:artist:2nTjd2lNo1GVEfXM3bCnsh","The Teskey Brothers","spotify:album:1AwOiNVDcnyX4YAcvNecvd","The Winding Way","spotify:artist:2nTjd2lNo1GVEfXM3bCnsh","The Teskey Brothers","2023-06-16","https://i.scdn.co/image/ab67616d0000b27367f540e2f2ca8c98750c1015","1","3","258651","https://p.scdn.co/mp3-preview/e8de52e32db8b05235040941f8f89523b1693612?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","AULI02250760","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:42TtHTxWk782ZBiqyOi2d1","Dawns (feat. Maggie Rogers)","spotify:artist:40ZNYROS4zLfyyBSs2PGe2, spotify:artist:4NZvixzsSefsNiIqXn0NDe","Zach Bryan, Maggie Rogers","spotify:album:2Wpz5Xzsbr7hJg5Wb13p4m","Dawns (feat. Maggie Rogers)","spotify:artist:40ZNYROS4zLfyyBSs2PGe2, spotify:artist:4NZvixzsSefsNiIqXn0NDe","Zach Bryan, Maggie Rogers","2023-01-27","https://i.scdn.co/image/ab67616d0000b273a0a916db0206cc4d773f9013","1","1","290892","https://p.scdn.co/mp3-preview/483cecffd0bb8f592b71fa20e90c2a9177b0de70?cid=9950ac751e34487dbbe027c4fd7f8e99","true","83","USWB12300176","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:7xDDRoOWJ5sOsp2SDXdTrE","A Dangerous Thing","spotify:artist:1RryIbDjpwt00AKkSpCGvP","PJ Harding","spotify:album:1L1XG9oKtjHkCB2LY6e1xX","A Dangerous Thing","spotify:artist:1RryIbDjpwt00AKkSpCGvP","PJ Harding","2023-06-09","https://i.scdn.co/image/ab67616d0000b273ceecc78000e62e32e64b1afa","1","1","183253","https://p.scdn.co/mp3-preview/5331e357c109c4663d7fa13bcd9cd5e399d5073e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USRC12201082","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:10UTmRvoroe6eZ3ViwkpbN","Simply The Best","spotify:artist:0MID3D49WKmEGfBINN0VJC","Billianne","spotify:album:2IjiX4wNgyntlvPU9a0Yy7","Simply The Best","spotify:artist:0MID3D49WKmEGfBINN0VJC","Billianne","2022-02-25","https://i.scdn.co/image/ab67616d0000b2736cd2fc03214773c8b2486061","1","1","173571","https://p.scdn.co/mp3-preview/2c1fd86f116b11aacc054ac774800c591b651772?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","US3DF2216920","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:3Zz37G6EggIIMiqgBnovnH","Till the Flame Turns Blue","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","spotify:album:7LLMYmgPN4YRHFqm3ipAjM","Till the Flame Turns Blue","spotify:artist:79hrYiudVcFyyxyJW0ipTy","The Paper Kites","2023-04-07","https://i.scdn.co/image/ab67616d0000b27345ef6d58cf03061fc1b145f1","1","1","245160","https://p.scdn.co/mp3-preview/53b76e35eb999e20c36d029ce8aac34924920d6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","AUBM02300007","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:2Iw07pDIocxjnRK4CpBNse","King of Disappointment","spotify:artist:589TqkGa2orXeVV4EK653j","Jem Cassar-Daley","spotify:album:23fehF8H0YmZyTW6kPDN3X","King of Disappointment","spotify:artist:589TqkGa2orXeVV4EK653j","Jem Cassar-Daley","2023-05-03","https://i.scdn.co/image/ab67616d0000b273a7e35be478d5a539cbe6d9f5","1","1","251265","https://p.scdn.co/mp3-preview/bc469a5e7938f1f7e368891aa4e0675f48ed1736?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","AUMEV2339028","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:19F9zI5CTg1MZAVMA9EQ5P","Never Alone","spotify:artist:4S3VOqqGguEZu3vbJMig4t, spotify:artist:4K9OTkRXEFL6NDXFTqVmq9","Garrett Kato, Elina","spotify:album:3JqNfyou9m91bGd9s7HMMU","Never Alone","spotify:artist:4S3VOqqGguEZu3vbJMig4t, spotify:artist:4K9OTkRXEFL6NDXFTqVmq9","Garrett Kato, Elina","2023-05-05","https://i.scdn.co/image/ab67616d0000b273597531aeb50d7240429cef74","1","1","143560","https://p.scdn.co/mp3-preview/97d283756165b58ce36502905cc2d538c1f05b81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","CAN112300648","spotify:user:","2023-06-08T14:00:00Z"
"spotify:track:6INztpNwOTlfSKTuPo0HOP","The Alcott (feat. Taylor Swift)","spotify:artist:2cCUtGK9sDU2EoElnk0GNB, spotify:artist:06HL4z0CvFAxyc27GXpf02","The National, Taylor Swift","spotify:album:5Mc6uebYtKnRc5I7bjlNB6","First Two Pages of Frankenstein","spotify:artist:2cCUtGK9sDU2EoElnk0GNB","The National","2023-04-28","https://i.scdn.co/image/ab67616d0000b273364c819937072957a9220847","1","7","267773","https://p.scdn.co/mp3-preview/a0ccf80738592298db66ecb376d482930b58e5c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAFL2200337","spotify:user:","2023-06-08T14:00:00Z"
