"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:7AK7Gj31ajJjpIPd9bxs43","Reality (feat. Janieck Devy)","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:5gtYjyZlmPOc1lLHvYzCON","Lost Frequencies, Janieck Devy","spotify:album:1qHafOb8dHBvKg70xnYHOZ","Less is More","spotify:artist:7f5Zgnp2spUuuzKplmRkt7","Lost Frequencies","2016-10-21","https://i.scdn.co/image/ab67616d0000b2735fe2e6da3010f5e673db0ce0","1","5","158474","","false","0","NLF711502765","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:12YE1kGME25NLvBE1qkdOc","Diamonds","spotify:artist:0tLuInyvDe42qY57KDsqTz","Wavey","spotify:album:0eOIOvKeC1fh759tv4Wee3","Diamonds","spotify:artist:0tLuInyvDe42qY57KDsqTz","Wavey","2023-06-01","https://i.scdn.co/image/ab67616d0000b27383da9d84b1eeb4c61db59b33","1","1","186200","https://p.scdn.co/mp3-preview/03ebc0575e099d167cdc86b26ba8d0e11ada9dc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GX8LE2324228","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:0FEdfD2exlmizDE6z2uAoh","Running Up That Hill","spotify:artist:2v7q6g8FLhc74i4gBBdruy, spotify:artist:3RuKMixE6jnuXqEx1Jy1om","Skye Holland, Steve Kroeger","spotify:album:4GA1fKDesvFoR4afbdpeFj","Running Up That Hill","spotify:artist:2v7q6g8FLhc74i4gBBdruy, spotify:artist:3RuKMixE6jnuXqEx1Jy1om","Skye Holland, Steve Kroeger","2022-06-17","https://i.scdn.co/image/ab67616d0000b2733e6ab1027229941a215c40e7","1","1","256665","","false","0","NLRD52042556","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:00lcKWmU1LoIR2OWTw3syJ","What's My Name","spotify:artist:1FeiNJm4aeEJ97JnSMduTh, spotify:artist:73BWaJ2QBzDrBjeCnhBzE1, spotify:artist:4J7ascv32yT6yE75KRCktv","Kalkovich, ILURO, Jaime Deraz","spotify:album:0u04nbCTENSLIlwv984lXh","What's My Name","spotify:artist:1FeiNJm4aeEJ97JnSMduTh, spotify:artist:73BWaJ2QBzDrBjeCnhBzE1","Kalkovich, ILURO","2023-07-27","https://i.scdn.co/image/ab67616d0000b273deafccb4a183a80209b4802b","1","1","148823","https://p.scdn.co/mp3-preview/b7688e681e850dfc5c1666fbb7e4c9196a0e4325?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","NLT2H2300556","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:4LqtPAQsSgzWWwDih5QFbz","Fields Of Gold","spotify:artist:5cuIDrzlgb5jGwLlRWYnAc, spotify:artist:6qYgKlSMSUj2DbN1bR1KcR","Erlando, Jules Kyng","spotify:album:0jUhDlMKMMq1f9aUzoTwJP","Fields Of Gold","spotify:artist:5cuIDrzlgb5jGwLlRWYnAc, spotify:artist:6qYgKlSMSUj2DbN1bR1KcR","Erlando, Jules Kyng","2020-10-23","https://i.scdn.co/image/ab67616d0000b273a613a1e08014bf98018e3f03","1","1","148990","https://p.scdn.co/mp3-preview/cd306c7ff923da907ba0e381cb02ae35f92e0b5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","DK4YA2015901","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:6zSpb8dQRaw0M1dK8PBwQz","Cold Heart - PNAU Remix","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:6n28c9qs9hNGriNa72b26u","Elton John, Dua Lipa, PNAU","spotify:album:5D8Rdb09BkmHscEGSWAlA6","Cold Heart (PNAU Remix)","spotify:artist:3PhoLpVuITZKcymswpck5b, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:6n28c9qs9hNGriNa72b26u","Elton John, Dua Lipa, PNAU","2021-08-13","https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23","1","1","202735","https://p.scdn.co/mp3-preview/2b3e7aadb75891a4ceccb69d54d60d0fb5178500?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GBUM72104705","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:1YHWfJOAvwwkrxxa9luvTG","Apologize (Slowed)","spotify:artist:6SwVPmSTMYlcy2vTWyE3aC, spotify:artist:0JB4i9bhEANaZv1c3i3oYq","Boostereo, HALUNA","spotify:album:1GXTIED0IC3SmQzBB8y6fm","Apologize (Slowed)","spotify:artist:6SwVPmSTMYlcy2vTWyE3aC, spotify:artist:0JB4i9bhEANaZv1c3i3oYq","Boostereo, HALUNA","2022-11-18","https://i.scdn.co/image/ab67616d0000b27389a309d60707f79fdcafd39a","1","1","168348","","false","33","QZMHM2254799","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Calvin Harris, Dua Lipa","spotify:album:7GEzhoTiqcPYkOprWQu581","One Kiss (with Dua Lipa)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Calvin Harris, Dua Lipa","2018-04-06","https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108","1","1","214846","https://p.scdn.co/mp3-preview/0c09da1fe6f1da091c05057835e6be2312e2dc18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBARL1800368","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:6yv0ZjBlZy2oRFq7jAis2C","Riptide","spotify:artist:6tV2P2SciHytsSDufKr57B","TWOPILOTS","spotify:album:2zx1E2Yv7eYSWvfbPDDF7P","Riptide","spotify:artist:6tV2P2SciHytsSDufKr57B","TWOPILOTS","2022-04-21","https://i.scdn.co/image/ab67616d0000b273c401c6d2260fed140d4824c8","1","1","154731","https://p.scdn.co/mp3-preview/addd01c43223f43479ae314497e31614407ef5fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","NLT2H2200190","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
"spotify:track:7qxYVpljRCXir0TRu4BShr","Until I've Found Myself","spotify:artist:5SZUMeZ1O9tcgkSkkx1dFy, spotify:artist:0eGQLgDJaGfvvKv7spAgqX, spotify:artist:77vbRLApUtIjEvFLDdL7dg","Viva La Panda, MARE, TWINNS","spotify:album:6f4RcS6uHCwCBMkUXVmGR1","Until I've Found Myself","spotify:artist:5SZUMeZ1O9tcgkSkkx1dFy, spotify:artist:0eGQLgDJaGfvvKv7spAgqX, spotify:artist:77vbRLApUtIjEvFLDdL7dg","Viva La Panda, MARE, TWINNS","2023-08-17","https://i.scdn.co/image/ab67616d0000b2734b8ee7fa4a9c242ae56a3250","1","1","150517","https://p.scdn.co/mp3-preview/96da25e3963c98ca95569c88df28d7a9e28305fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","NLT2H2300625","spotify:user:455wdr9yh02q4qf3f21hqtpgf","2023-08-18T10:53:41Z"
