"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:07bsRv0pcpbG4zJeLsUs1p","Eyes Closed","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:43qfLpwe6sEOEqxVmOHRu0","Eyes Closed","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2023-03-24","https://i.scdn.co/image/ab67616d0000b273340478dfce149f58e2327334","1","1","194848","","false","79","GBAHS2201304","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:3uli9JYrLVTJ9PIW7KZjLH","Flowers (feat. Levka Rey)","spotify:artist:2Du67wvPTzzJ2LcmiHEOHK, spotify:artist:7qB2easTNF1byZVSesD39n, spotify:artist:6jaX71Jjhu6nfYVdaPTJYi","Feather, Pierre Leck, Levka Rey","spotify:album:6e2zl54fwOhxecgw3psBJX","Flowers (feat. Levka Rey)","spotify:artist:2Du67wvPTzzJ2LcmiHEOHK, spotify:artist:7qB2easTNF1byZVSesD39n, spotify:artist:6jaX71Jjhu6nfYVdaPTJYi","Feather, Pierre Leck, Levka Rey","2023-03-31","https://i.scdn.co/image/ab67616d0000b27348f28d44124b880b18ed13fe","1","1","147457","https://p.scdn.co/mp3-preview/a8a3d020e42667e64dc4149db7ff4601507cac99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","BE8LH2300052","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:27IPKPihBookrvrXK1FHmC","Me and My Guitar","spotify:artist:4Q6nIcaBED8qUel8bBx6Cr, spotify:artist:75VKfyoBlkmrJFDqo1o2VY","Jax Jones, Fireboy DML","spotify:album:2aUjskRm4oj02ZUEymdPww","Me and My Guitar","spotify:artist:4Q6nIcaBED8qUel8bBx6Cr, spotify:artist:75VKfyoBlkmrJFDqo1o2VY","Jax Jones, Fireboy DML","2023-07-07","https://i.scdn.co/image/ab67616d0000b273b843c3f68a6f648422a17e8f","1","1","134310","https://p.scdn.co/mp3-preview/aa2e59c176b96ccc16202263bb5772298e7a94e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBUM72304638","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:5r43qanLhUCdBj8HN3fa6B","Sunshine","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:2YSlIS6gM38w7ZJNj8F3s6","Sunshine","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2021-11-10","https://i.scdn.co/image/ab67616d0000b2733b248f42fb53c64faf1d748e","1","1","163854","https://p.scdn.co/mp3-preview/5a4cafd427b29258c8f24f8ac8cb0cdadfd9607d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM72100506","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:1x7NAvqHgCvhV549ls0FTE","Sunset Lovers","spotify:artist:2mF9PcfpN8vxRtCfra8hz1, spotify:artist:2vOzV5WdvOYH3K1NJyt7wb, spotify:artist:0WRqpklDf9jCcdVitOJGn6","Thierry Von Der Warth, Horizon Blue, Carston","spotify:album:5x7S16YvroS0lLKXARqUMu","Sunset Lovers","spotify:artist:2mF9PcfpN8vxRtCfra8hz1, spotify:artist:2vOzV5WdvOYH3K1NJyt7wb, spotify:artist:0WRqpklDf9jCcdVitOJGn6","Thierry Von Der Warth, Horizon Blue, Carston","2022-08-12","https://i.scdn.co/image/ab67616d0000b273f08511e0501565eb827089a2","1","1","176000","https://p.scdn.co/mp3-preview/8fffaf3d1d455fceb5cb21cdc67bd5cce96a4e76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","BE8LH2200090","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:6IdcyYfBz9LG3SWIKVyNgh","Arranca (feat. Omega)","spotify:artist:4obzFoKoKRHIphyHzJ35G3, spotify:artist:1UjxAZqzphB1tsMb1aWBj0","Becky G, Omega","spotify:album:3d0XlD9jrpNetVgDfsErG4","Arranca (feat. Omega)","spotify:artist:4obzFoKoKRHIphyHzJ35G3, spotify:artist:1UjxAZqzphB1tsMb1aWBj0","Becky G, Omega","2023-03-10","https://i.scdn.co/image/ab67616d0000b27361f698cb35bb6f6d96fd1612","1","1","166529","https://p.scdn.co/mp3-preview/e89080775f70de66d4453af5e0ff36895e8483a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USRC12300209","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:6UxyFMOGKVO9jobJ9PGCMT","Hot Stuff (feat. Levka Rey)","spotify:artist:5Dbey2rYHmx0fZWywHiO2N, spotify:artist:2Du67wvPTzzJ2LcmiHEOHK, spotify:artist:6jaX71Jjhu6nfYVdaPTJYi","BNHM, Feather, Levka Rey","spotify:album:2GO8ViwdDcIHHWoSiRD1KL","Hot Stuff (feat. Levka Rey)","spotify:artist:5Dbey2rYHmx0fZWywHiO2N, spotify:artist:2Du67wvPTzzJ2LcmiHEOHK, spotify:artist:6jaX71Jjhu6nfYVdaPTJYi","BNHM, Feather, Levka Rey","2023-06-23","https://i.scdn.co/image/ab67616d0000b273818afc294863719a6d9f9ee3","1","1","150461","https://p.scdn.co/mp3-preview/a9b3e435619964103baa5433de526e8f5094c0d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","BE8LH2300114","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:6cOnOBa5A9A5IMiqHYbEhu","Save Me (feat. WLZN)","spotify:artist:5P2W0yAyT5iL5HzSi7uHpK, spotify:artist:2URl3RyFpTbuZSa8AhZLGt, spotify:artist:3C46QoWzkbaelIUTmuWvce","C3DRIC, USAI, WLZN","spotify:album:7EDiT8TwRG312gEOMrpN46","Save Me (feat. WLZN)","spotify:artist:5P2W0yAyT5iL5HzSi7uHpK, spotify:artist:2URl3RyFpTbuZSa8AhZLGt, spotify:artist:3C46QoWzkbaelIUTmuWvce","C3DRIC, USAI, WLZN","2023-06-02","https://i.scdn.co/image/ab67616d0000b273dea9127a2954eef587fc8357","1","1","132000","https://p.scdn.co/mp3-preview/df58bab46139f5122823e777fdfadc5b47d51898?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","BE8LH2300076","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
"spotify:track:3JWBhbcviDe1gIvZS3wwFa","Sugar (feat. Eirik Næss)","spotify:artist:1EtBmvqGOtWnjDgCUFQRqI, spotify:artist:41HOzTOe9JNerhym1HWxti, spotify:artist:7FNA36ZmHzr9QkZJcQjYcO, spotify:artist:2lvPwN75VoOSDqQxeoyq7z","Rolipso, Yann Muller, Foínix, Eirik Næss","spotify:album:3wCwbzjcVI6PNPyWGuH3AG","Sugar","spotify:artist:1EtBmvqGOtWnjDgCUFQRqI, spotify:artist:41HOzTOe9JNerhym1HWxti, spotify:artist:7FNA36ZmHzr9QkZJcQjYcO","Rolipso, Yann Muller, Foínix","2023-07-28","https://i.scdn.co/image/ab67616d0000b273079ab3b6979a82f5f4c5eda8","1","1","165000","https://p.scdn.co/mp3-preview/6be476f416d7963e3867a8c96633d6c02073b3c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","BE8LH2300144","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-27T20:29:35Z"
"spotify:track:2iIieuFHFeU2SFk9nZ3YgK","When The Sun Goes Down","spotify:artist:125PCXGTE6sFhvG8w0EnvU, spotify:artist:1SC74Ya2mEkFoUzpr8hIev, spotify:artist:2kxp3h1pAtoA55el5VyMb5","Nate VanDeusen, Abraham Colona, Allen Folk","spotify:album:3VzbsWnude5eb6LGICZ5UZ","When The Sun Goes Down","spotify:artist:125PCXGTE6sFhvG8w0EnvU, spotify:artist:1SC74Ya2mEkFoUzpr8hIev, spotify:artist:2kxp3h1pAtoA55el5VyMb5","Nate VanDeusen, Abraham Colona, Allen Folk","2023-06-16","https://i.scdn.co/image/ab67616d0000b2738989ebd6fa136d4e05bda875","1","1","153600","https://p.scdn.co/mp3-preview/0c944d4ac8df1d630e9949883f30e6cc48fb0986?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","BE8LH2300109","spotify:user:9farmipw0i9o1k4qcmvqg3dcv","2023-07-18T14:20:29Z"
