"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5QO79kh1waicV47BqGRL3g","Save Your Tears","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:4yP0hdKOZPNshxUOjY0cZj","After Hours","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","2020-03-20","https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36","1","11","215626","https://p.scdn.co/mp3-preview/4bb5ee4441a2342502372f80f78a92cf3fe22549?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USUG12000658","spotify:user:zepermusic","2021-11-18T17:22:31Z"
"spotify:track:3qcse1HvDQ1vGQo6Egtkom","New Love (feat. Ellie Goulding)","spotify:artist:2X97ZAqRKRMYFIDqtvGgGc, spotify:artist:0X2BH1fck6amBIoJhDVmmJ, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3hv9jJF3adDNsBSIQDqcjp","Silk City, Ellie Goulding, Diplo, Mark Ronson","spotify:album:6DFajhqhakGIy5A8gy0LcZ","New Love (feat. Ellie Goulding)","spotify:artist:2X97ZAqRKRMYFIDqtvGgGc, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Silk City, Ellie Goulding","2021-01-21","https://i.scdn.co/image/ab67616d0000b2731159d2f5cefc73fe3052ffb3","1","1","190680","","false","0","USQX92005819","spotify:user:zepermusic","2021-11-18T17:22:31Z"
"spotify:track:1KJt6fmDYbeMyxJXBv6O8B","Scrolling","spotify:artist:2jLHTq34nw9NHBXYjzFaHJ","3face & Cee","spotify:album:61M38pWVQYFey3WDkcFxsw","Scrolling","spotify:artist:2jLHTq34nw9NHBXYjzFaHJ","3face & Cee","2023-04-28","https://i.scdn.co/image/ab67616d0000b2733e693cdd242d67d265c503f8","1","1","153393","https://p.scdn.co/mp3-preview/a110748867214f2942d64a9ed88b56f34d2073c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUYG1484508","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2023-07-11T14:45:02Z"
"spotify:track:6OqrJqDMu15AGJHJazg9Nr","Levitating (feat. DaBaby)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Dua Lipa, DaBaby","spotify:album:7rDBQBZqPemmbPWCJhTgmy","Future Nostalgia","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-03-27","https://i.scdn.co/image/ab67616d0000b2735ffd3856144e0414dea4b838","1","12","203064","","false","0","GBAHT2000942","spotify:user:zepermusic","2021-11-18T17:22:31Z"
"spotify:track:4RCxMeZjjirMp6sLWAiRxb","Twenty Nothing","spotify:artist:4j8LfmADKGMGknwJOUFKYf","Frankie Bird","spotify:album:1A39gFaDwwqZi2oNPTag3E","Twenty Nothing","spotify:artist:4j8LfmADKGMGknwJOUFKYf","Frankie Bird","2023-06-09","https://i.scdn.co/image/ab67616d0000b273ed7446f24cba6acabb667fe4","1","1","231120","https://p.scdn.co/mp3-preview/d074cef9d65f296aaed88e93fab1783f24f7a35e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QM24S2303543","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2023-07-11T15:23:01Z"
"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Bad Habits","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:01NhUvviMytvV12pmJiDZH","Bad Habits","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2021-06-25","https://i.scdn.co/image/ab67616d0000b2734e03a288fd79707055759f9c","1","1","231041","","false","21","GBAHS2100318","spotify:user:zepermusic","2021-11-18T17:22:31Z"
"spotify:track:6SchoMynt5OqYCZY9KyBwv","You Got Me - The NGHBRS Remix","spotify:artist:7vWC03wqXwUqjPON8hc1tz, spotify:artist:5mYakBbBzPMQTfkVMIgiDM, spotify:artist:2YYAp30sXeDAKiTLMfKGTT","TELYKAST, Georgia Ku, The NGHBRS","spotify:album:4fNChDmTwNN3yr4dq0fvxE","You Got Me (Remixes)","spotify:artist:7vWC03wqXwUqjPON8hc1tz","TELYKAST","2023-08-18","https://i.scdn.co/image/ab67616d0000b273b4482e5b61d9a9b89dd6062b","1","3","150967","https://p.scdn.co/mp3-preview/417dcee601c7b0d2a2a3f72e5e6972da184110ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","USUM72312108","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2023-08-18T20:10:42Z"
"spotify:track:6PERP62TejQjgHu81OHxgM","good 4 u","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:3rMjL8NA5Wh2hbMNk2fSlY","good 4 u","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2021-05-14","https://i.scdn.co/image/ab67616d0000b273670ec029374e082f921f9f74","1","1","178147","https://p.scdn.co/mp3-preview/b842388e0a8bb4c8667f77d645b25fdcd50961c1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","USUG12101245","spotify:user:zepermusic","2021-11-18T17:22:31Z"
"spotify:track:0f2m1CikTp4wgyYnvR7bKk","neon summer","spotify:artist:3SqtHH9uGzfm9UIc7veyuK","The Sometimes Island","spotify:album:5M62IdaHOT4PR2k8pe2zl3","neon summer","spotify:artist:3SqtHH9uGzfm9UIc7veyuK","The Sometimes Island","2023-07-12","https://i.scdn.co/image/ab67616d0000b2732dcc8419ff21ce859f2e6e2a","1","1","225862","https://p.scdn.co/mp3-preview/d2da7dc69cce98258daf822c8dd3aed7c609a97f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","QZMEM2382780","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2023-07-18T20:29:34Z"
"spotify:track:75Ri7FKclq7pFBc5bIK0sC","Quiero Decirte - Zeper Remix","spotify:artist:2bxxlINUlcMQQb39K7IopR, spotify:artist:6k8mwkKJKKjBILo7ypBspl, spotify:artist:3tNfCak31ds75TVqS3wEIL","Abraham Mateo, Ana Mena, Zeper","spotify:album:3U2wtzZJqd55HGBfqVHruU","Quiero Decirte - Remixes","spotify:artist:2bxxlINUlcMQQb39K7IopR, spotify:artist:6k8mwkKJKKjBILo7ypBspl","Abraham Mateo, Ana Mena","2022-06-15","https://i.scdn.co/image/ab67616d0000b2730315c54aac42426845902872","1","1","205714","https://p.scdn.co/mp3-preview/76a97d21967102c631f3c5788fcc62f22d88bfb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ES5022202011","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2022-09-21T09:52:51Z"
"spotify:track:3e3dNF0OkAyfQ5pV2Tfwm8","Lullaby","spotify:artist:4kV6iM6LBNfZX4qRHJUoNH","Matilde G","spotify:album:3G1zM28u6OefzrrIUowAu0","Lullaby","spotify:artist:4kV6iM6LBNfZX4qRHJUoNH","Matilde G","2023-07-21","https://i.scdn.co/image/ab67616d0000b2738c2f865e90496513a476cee8","1","1","183333","https://p.scdn.co/mp3-preview/e92ed3b084850b417b6e8ac4fb91a144072d0e81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","SGUM72301063","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2023-08-03T14:06:15Z"
"spotify:track:49dFIRQCQxPWgoH0m38XQ5","Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album","spotify:artist:1cZQSpDsxgKIX2yW5OR9Ot, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Lennon Stella, Charlie Puth","spotify:album:4D9M4nzQ9kvchgxyQyymtW","Summer Feelings (feat. Charlie Puth)","spotify:artist:1cZQSpDsxgKIX2yW5OR9Ot, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","Lennon Stella, Charlie Puth","2020-04-23","https://i.scdn.co/image/ab67616d0000b2738733aeff08abb0822948bbb0","1","1","160289","https://p.scdn.co/mp3-preview/23c44f231e4fbd10c9a4a8ba56a7a4643256bef0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USAT22003073","spotify:user:zepermusic","2021-11-18T17:22:31Z"
"spotify:track:7dWyAt5H5ZqDBJqnzoeHQb","I'll Go To Hell For It","spotify:artist:1ziq8uBcFX4KNryZbTZvMA","Jared Henry","spotify:album:1p8MFyvHxwbq6mc3da47qx","I'll Go To Hell For It","spotify:artist:1ziq8uBcFX4KNryZbTZvMA","Jared Henry","2023-03-24","https://i.scdn.co/image/ab67616d0000b27358b0e494ff71607fc8c0beac","1","1","232285","https://p.scdn.co/mp3-preview/8852ed56c6eec36bbf9694b0c22a356b38c9985e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","QZHN32382693","spotify:user:31zo6rhqrwgrthqn5vdmdjdk3xia","2023-05-09T22:15:33Z"
"spotify:track:748mdHapucXQri7IAO8yFK","Kiss Me More (feat. SZA)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Doja Cat, SZA","spotify:album:1OnzqJTL9bwe4kvaLxRYxt","Kiss Me More (feat. SZA)","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Doja Cat, SZA","2021-04-09","https://i.scdn.co/image/ab67616d0000b2739f4af2c39b1e4a4eb45cd124","1","1","208866","https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USRC12100543","spotify:user:zepermusic","2021-11-18T17:22:31Z"
