"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6mkzd3GcwAfAy87eQPhIEW","Won't Sleep Tonight","spotify:artist:4kgQogj3xhCBH68HbDZFuK, spotify:artist:45X4AMSctwwyeizTASGlwX","Wann, Tim Riehm","spotify:album:4hywYY7FOIpYiG83a6G0f2","Won't Sleep Tonight","spotify:artist:4kgQogj3xhCBH68HbDZFuK, spotify:artist:45X4AMSctwwyeizTASGlwX","Wann, Tim Riehm","2023-05-12","https://i.scdn.co/image/ab67616d0000b27390e14721d4de71db236138fb","1","1","203448","https://p.scdn.co/mp3-preview/bfaeec4024f7f0bbf1230b038018182b74f8968d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","CH0012300081","spotify:user:lukofficial","2023-05-11T21:45:06Z"
"spotify:track:4zN21mbAuaD0WqtmaTZZeP","Ferrari","spotify:artist:43BxCL6t4c73BQnIJtry5v, spotify:artist:45ruzGUmIr8WLjLOPJ9mGU","James Hype, Miggy Dela Rosa","spotify:album:6moZ4sNThthUAwCklyuPY8","Ferrari","spotify:artist:43BxCL6t4c73BQnIJtry5v, spotify:artist:45ruzGUmIr8WLjLOPJ9mGU","James Hype, Miggy Dela Rosa","2022-04-01","https://i.scdn.co/image/ab67616d0000b2736cc861b5c9c7cdef61b010b4","1","1","186661","https://p.scdn.co/mp3-preview/3c21e0bea740ed198a79f0abf2b3b113b68f3f29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GB3CE2200004","spotify:user:lukofficial","2023-01-27T14:49:48Z"
"spotify:track:5pXcLx93HLUIqZrdgheodj","I Got 5 On It - Short Edit","spotify:artist:0fkMWcMWuwSwMJWFr1bCFc, spotify:artist:5PYz5PgVftmL9vQd9i7WSS","Sir J One, Tony T","spotify:album:3yBkg4tml2Yn7oB0BeMz4c","I Got 5 On It","spotify:artist:0fkMWcMWuwSwMJWFr1bCFc, spotify:artist:5PYz5PgVftmL9vQd9i7WSS","Sir J One, Tony T","2023-05-12","https://i.scdn.co/image/ab67616d0000b273e12b96ff24be69729823561d","1","1","160118","https://p.scdn.co/mp3-preview/2245ccb569fc4e4ac727c88f5f0770add979ef5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","DEKB72082694","spotify:user:lukofficial","2023-06-14T15:00:03Z"
"spotify:track:7GpiRvevDAkR3lDH5AxNwT","To Be Real","spotify:artist:6Se1y4vDcu9fVHLqdj1N3q, spotify:artist:44T94QQEc60Jf7kqGY6Rip, spotify:artist:6UfoTQXaV3DuqtDVjZIxwZ","Wuki, Lee Foss, Cheryl Lynn","spotify:album:6NrGM3aH0HgQyy7UabNprK","To Be Real","spotify:artist:6Se1y4vDcu9fVHLqdj1N3q, spotify:artist:44T94QQEc60Jf7kqGY6Rip","Wuki, Lee Foss","2023-05-26","https://i.scdn.co/image/ab67616d0000b27335de3845e9c999ae1a6c18bc","1","1","203225","https://p.scdn.co/mp3-preview/a9e595569e2b4dc90b352d9808275f81104c8f24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QZFPL2100364","spotify:user:lukofficial","2023-06-20T08:26:08Z"
"spotify:track:42IBSpXN2zp93gUueV5Azp","Firestarter (feat. Naami)","spotify:artist:4vecjKk0kZukLpQBiC4hiE, spotify:artist:76Fca9THLWsK7026NauEUj, spotify:artist:4pCnUwAqnIum9AjRD2Y57x","Frede, Golowko, NAAMI","spotify:album:4w1yUgW3EhJ76viOvSt1DW","Firestarter (feat. Naami)","spotify:artist:4vecjKk0kZukLpQBiC4hiE, spotify:artist:76Fca9THLWsK7026NauEUj, spotify:artist:4pCnUwAqnIum9AjRD2Y57x","Frede, Golowko, NAAMI","2023-05-19","https://i.scdn.co/image/ab67616d0000b2732c3278afcb0db7066a86454e","1","1","146206","https://p.scdn.co/mp3-preview/894072538d22b7d6f2fa87aa014b59c7731b0c14?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","CH0012300088","spotify:user:lukofficial","2023-05-18T11:26:15Z"
"spotify:track:2FCV5SOPtSSYobwHi3bN6j","Good Vibes","spotify:artist:1JbA7XjVOQHb2U2mK0RDJi, spotify:artist:6f6aiorf7uXCX4qDTDRTIv","STVNS, ArrowArrow","spotify:album:3h8GMmwic4qCTPvhk3daYM","Good Vibes","spotify:artist:1JbA7XjVOQHb2U2mK0RDJi, spotify:artist:6f6aiorf7uXCX4qDTDRTIv","STVNS, ArrowArrow","2023-08-04","https://i.scdn.co/image/ab67616d0000b27379648cc8e9de5c7b0ba1b51f","1","1","163000","https://p.scdn.co/mp3-preview/03986d69107e518181973674683ecffe5ea906ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","SE6TI2317493","spotify:user:lukofficial","2023-08-20T22:24:58Z"
"spotify:track:3lGvM7uoaApBAZo0AdtS8X","Take Me Away","spotify:artist:6i7CUQFXpBN318gG9wN72y","DJ Jon","spotify:album:2npiTfYAVYtohpTTEzNxqj","Take Me Away","spotify:artist:6i7CUQFXpBN318gG9wN72y","DJ Jon","2023-08-04","https://i.scdn.co/image/ab67616d0000b2732bd009f5d501dcb4ffa44ac8","1","1","152812","https://p.scdn.co/mp3-preview/98060f1ff8537b94b3ea13abfd256f7171698017?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","QZTV32354158","spotify:user:lukofficial","2023-08-16T21:10:04Z"
"spotify:track:3bVbwk0pwOZRRbC9EJfZMu","Oxygen","spotify:artist:7ISVMXRseDXG6dgN78y6Dz, spotify:artist:7voVuewp9js4Ru1FQCw2RI, spotify:artist:54EunxElAXwiCdraQLeUoR","Flip Capella, Jordan Rys, JUSE","spotify:album:4AOeSCQTSDf8B409DjcA5h","Oxygen","spotify:artist:7ISVMXRseDXG6dgN78y6Dz, spotify:artist:7voVuewp9js4Ru1FQCw2RI, spotify:artist:54EunxElAXwiCdraQLeUoR","Flip Capella, Jordan Rys, JUSE","2023-08-11","https://i.scdn.co/image/ab67616d0000b2739e223eca6bd194c94959ad54","1","1","150967","https://p.scdn.co/mp3-preview/30e5c32c6f6925b29267e4f044b60719aaa82606?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ATB152300553","spotify:user:lukofficial","2023-08-17T08:54:21Z"
"spotify:track:248c7UIc5gUJhvSqn9P1pO","The One - Ruff Loaderz Radio Mix","spotify:artist:6i7CUQFXpBN318gG9wN72y","DJ Jon","spotify:album:6DNLbnz88zQLkxZJnGWu0c","The One (Ruff Loaderz Radio Mix)","spotify:artist:6i7CUQFXpBN318gG9wN72y","DJ Jon","2023-06-02","https://i.scdn.co/image/ab67616d0000b2737bb6a030b47964955b77d4ae","1","1","203076","https://p.scdn.co/mp3-preview/020f8ef002ae558ff32bf876e11c7a6f3b34498b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBRKQ2316129","spotify:user:lukofficial","2023-08-16T21:14:47Z"
"spotify:track:6Fnx3BIQdQ0ws46VuNxh0l","Back To Reality","spotify:artist:53UKBEUq2Nq8IoD6nV8txT","As We Are","spotify:album:4DoJCCuiakokWS7PqtEHYf","Back To Reality","spotify:artist:53UKBEUq2Nq8IoD6nV8txT","As We Are","2023-05-12","https://i.scdn.co/image/ab67616d0000b27316d45f31ac7a0a7886287226","1","1","172430","https://p.scdn.co/mp3-preview/2c7945eaa3c1babe28843ad35695efe605bbab56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ATB152300247","spotify:user:lukofficial","2023-07-17T10:40:36Z"
