"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0yLdNVWF3Srea0uzk55zFn","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","spotify:album:7I0tjwFtxUwBC1vgyeMAax","Flowers","spotify:artist:5YGY8feqx7naU7z4HrwZM6","Miley Cyrus","2023-01-13","https://i.scdn.co/image/ab67616d0000b273f429549123dbe8552764ba1d","1","1","200454","","false","88","USSM12209777","spotify:user:32640okyy4uys55uzphqy10cl","2023-01-20T11:34:54Z"
"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","I Ain't Worried","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","spotify:album:04PEOM6kIEeq9lRp1asNP2","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","spotify:artist:5Pwc4xIPtQLFEnJriah9YJ","OneRepublic","2022-05-13","https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13","1","1","148485","https://p.scdn.co/mp3-preview/20d702edf937db0248603243a310404923d5bffb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","93","USUM72206227","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:5xk3iZlyYSurXmanrktlgs","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","spotify:album:0wrlgAW7tetQG2L3sy2wkN","I'm Good (Blue)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","David Guetta, Bebe Rexha","2022-08-24","https://i.scdn.co/image/ab67616d0000b2739e86faa54aa59457b4ce5039","1","1","175238","https://p.scdn.co/mp3-preview/ddbc8b31430c9853472af6e597bb92d3c4af88d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","UKWLG2200057","spotify:user:32640okyy4uys55uzphqy10cl","2023-05-11T18:42:09Z"
"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","Kill Bill","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:1nrVofqDRs7cpWXJ49qTnP","SOS","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2022-12-08","https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5","1","2","153946","https://p.scdn.co/mp3-preview/4bd2dc84016f3743add7eea8b988407b1b900672?cid=9950ac751e34487dbbe027c4fd7f8e99","false","92","USRC12204584","spotify:user:32640okyy4uys55uzphqy10cl","2023-01-04T20:51:59Z"
"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Unholy (feat. Kim Petras)","spotify:artist:2wY79sveU1sp5g7SokKOiI, spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J","Sam Smith, Kim Petras","spotify:album:0gX9tkL5njRax8ymWcXARi","Unholy (feat. Kim Petras)","spotify:artist:2wY79sveU1sp5g7SokKOiI, spotify:artist:3Xt3RrJMFv5SZkCfUE8C1J","Sam Smith, Kim Petras","2022-09-22","https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4","1","1","156943","https://p.scdn.co/mp3-preview/19eee1dea8b5b4bdecb56a3b27306c72b889f3c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","GBUM72205415","spotify:user:32640okyy4uys55uzphqy10cl","2022-10-29T22:35:17Z"
"spotify:track:5eTaQYBE1yrActixMAeLcZ","Miracle (with Ellie Goulding)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Calvin Harris, Ellie Goulding","spotify:album:22UyygZceCIfoE0RhENgKx","Miracle (with Ellie Goulding)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Calvin Harris, Ellie Goulding","2023-03-10","https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0","1","1","186496","https://p.scdn.co/mp3-preview/48a88093bc85e735791115290125fc354f8ed068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBARL2300300","spotify:user:32640okyy4uys55uzphqy10cl","2023-03-23T19:35:27Z"
"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Until I Found You (with Em Beihold) - Em Beihold Version","spotify:artist:5XKFrudbV4IiuE5WuTPRmT, spotify:artist:7o2ZQYM7nTsaVdkXY38UAA","Stephen Sanchez, Em Beihold","spotify:album:7ARtQpvnPN2ucbmVHngLOs","Until I Found You (Em Beihold Version)","spotify:artist:5XKFrudbV4IiuE5WuTPRmT, spotify:artist:7o2ZQYM7nTsaVdkXY38UAA","Stephen Sanchez, Em Beihold","2022-04-22","https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244","1","1","176440","https://p.scdn.co/mp3-preview/b3a1f2337811888fd2264a908987a60d4ad01774?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUG12202266","spotify:user:32640okyy4uys55uzphqy10cl","2023-02-06T21:03:13Z"
"spotify:track:3z9W9fT8TFFeBY3t5WGLmm","Smooth Operator","spotify:artist:3vlH5PSk5GSm61lfafSPAl","Lone Tusker","spotify:album:0yv0ZcxUJ5wUxRXYpL21Gk","Smooth Operator","spotify:artist:3vlH5PSk5GSm61lfafSPAl","Lone Tusker","2023-07-07","https://i.scdn.co/image/ab67616d0000b273147507401250378fd53c8495","1","1","186000","https://p.scdn.co/mp3-preview/a100a4bfa9a1e04e854c81280cae9bf85f38f19c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GX38U2394876","spotify:user:32640okyy4uys55uzphqy10cl","2023-07-06T17:43:59Z"
"spotify:track:7jHi6opPq439ruUlfH90Aw","Creepin' (with The Weeknd & 21 Savage)","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:1URnnhqYAYcrqrcwql10ft","Metro Boomin, The Weeknd, 21 Savage","spotify:album:5aQFjsRw6rieK5oDNgGRyB","HEROES & VILLAINS","spotify:artist:0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin","2022-12-02","https://i.scdn.co/image/ab67616d0000b273c91ab2dd6fcff9b7228ff7ac","1","10","221520","https://p.scdn.co/mp3-preview/76a680a6c8e7eb151c3c82ceb05c75dbd270818c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USUG12208806","spotify:user:32640okyy4uys55uzphqy10cl","2023-05-11T21:25:02Z"
"spotify:track:4OC6qCqVMscZLBMnLTsVyg","vampire","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","spotify:album:5Z30mAi4dtJ642OLgiKm55","vampire","spotify:artist:1McMsnEElThX1knmY4oliG","Olivia Rodrigo","2023-06-30","https://i.scdn.co/image/ab67616d0000b273d2231f2699bb03a6e644bf2f","1","1","219724","https://p.scdn.co/mp3-preview/bbcf8a6e03da2dd011fe63c359651b9d0140a4c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUG12305004","spotify:user:32640okyy4uys55uzphqy10cl","2023-07-13T22:03:05Z"
"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Where Are You Now","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Lost Frequencies, Calum Scott","spotify:album:5YrOK7zze6egKg9a8WRcnD","Where Are You Now","spotify:artist:7f5Zgnp2spUuuzKplmRkt7, spotify:artist:6ydoSd3N2mwgwBHtF6K7eX","Lost Frequencies, Calum Scott","2021-07-30","https://i.scdn.co/image/ab67616d0000b2738d7a7f1855b04104ba59c18b","1","1","148197","https://p.scdn.co/mp3-preview/e2646d5bc8c56e4a91582a03c089f8038772aecb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","BEHP42100067","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:0wI0S42Cg41DVGqIIVimTM","Blinding Lights","spotify:artist:7KigP1NA8s7IiVIxP5ndwJ, spotify:artist:2o1DwIg0eMGpA5m6zLLG2I","Revelries, Victoria Voss","spotify:album:1RinMQThKCHcrk6hMf6QiN","Blinding Lights","spotify:artist:7KigP1NA8s7IiVIxP5ndwJ, spotify:artist:2o1DwIg0eMGpA5m6zLLG2I","Revelries, Victoria Voss","2020-07-03","https://i.scdn.co/image/ab67616d0000b273c9616e0194505800d88627a9","1","1","176406","https://p.scdn.co/mp3-preview/594eacb84bd1122b3df5214ce781037a4dff8da1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","SE6HN2076241","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:6zJejIfVYLgjud3lTk4DLB","SNAP","spotify:artist:46xBNx0j6cwY6sD9LgMTm1","Rosa Linn","spotify:album:2nzuzJvr3yowqbPaYjEYof","SNAP PACK","spotify:artist:46xBNx0j6cwY6sD9LgMTm1","Rosa Linn","2022-07-15","https://i.scdn.co/image/ab67616d0000b273c009b22a08eee835ce3efeb9","1","5","179551","","false","3","USSM12207342","spotify:user:32640okyy4uys55uzphqy10cl","2022-10-29T22:37:17Z"
"spotify:track:1odExI7RdWc4BT515LTAwj","Daylight","spotify:artist:33NVpKoXjItPwUJTMZIOiY","David Kushner","spotify:album:6NcI39WPu4kY6Tul11nhSv","Daylight","spotify:artist:33NVpKoXjItPwUJTMZIOiY","David Kushner","2023-04-14","https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae","1","1","212953","https://p.scdn.co/mp3-preview/43c7e8d0c7af7fdddfeb56e2b8b8a091e2091a99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","96","QZXDB2300005","spotify:user:32640okyy4uys55uzphqy10cl","2023-04-18T22:04:20Z"
"spotify:track:07bsRv0pcpbG4zJeLsUs1p","Eyes Closed","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:43qfLpwe6sEOEqxVmOHRu0","Eyes Closed","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2023-03-24","https://i.scdn.co/image/ab67616d0000b273340478dfce149f58e2327334","1","1","194848","","false","79","GBAHS2201304","spotify:user:32640okyy4uys55uzphqy10cl","2023-03-26T21:08:56Z"
