,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
0,spotify:track:68QMV4n4qut49yh1hdROlw,Save Tonight,"spotify:artist:59UD0lnD3PozhhXlMQcAgP, spotify:artist:2qbMD17XuuTm7Fd46jYAYe","Tom Platts, DanWaltz",spotify:album:3cmtk0TLsTneDPCE0QuPyr,Save Tonight,"spotify:artist:59UD0lnD3PozhhXlMQcAgP, spotify:artist:2qbMD17XuuTm7Fd46jYAYe","Tom Platts, DanWaltz",2023-08-11,https://i.scdn.co/image/ab67616d0000b273e85376e1ab5c418f5d8dd961,1,1,186666,https://p.scdn.co/mp3-preview/36d6d6c580848e85b73a9c951166d91f8a0eba7c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,21,GX38U2398000,spotify:user:anyelostylemusic,2023-08-19T01:25:31Z
1,spotify:track:3ZuhMYrbaBy9or4LJIq6MS,All Over Again,"spotify:artist:54XePvvWvcqPr7Jj95qOWX, spotify:artist:6e2ZvwSvsd7TY2fr8wPE7C, spotify:artist:3x6K65pMW3Ei35TXKC03rL","Fablers, Darking On, Dare County",spotify:album:3Ea9ZmNkbUOgRQvvPjOMHm,All Over Again,"spotify:artist:54XePvvWvcqPr7Jj95qOWX, spotify:artist:6e2ZvwSvsd7TY2fr8wPE7C, spotify:artist:3x6K65pMW3Ei35TXKC03rL","Fablers, Darking On, Dare County",2023-07-28,https://i.scdn.co/image/ab67616d0000b2733c96f0a4ad4d21e6877bdaf0,1,1,194385,https://p.scdn.co/mp3-preview/1ee7ed73a36254780763771111f38820b84d599f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,28,GX3HH2363715,spotify:user:anyelostylemusic,2023-08-04T18:19:42Z
2,spotify:track:7jh6vwsH26H0DDGdHhwK0V,All I Want Is You,spotify:artist:68z26O6DXKAXdg1oWh2USg,Shrivera,spotify:album:6H0FkcTOEn62heD5qStTPS,All I Want Is You,spotify:artist:68z26O6DXKAXdg1oWh2USg,Shrivera,2023-07-21,https://i.scdn.co/image/ab67616d0000b2738eaa94ef4e42ab92323d57f0,1,1,198095,https://p.scdn.co/mp3-preview/6ca5ee1df047025a12e9bfaa30076467be8d46dc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,GX38U2344018,spotify:user:anyelostylemusic,2023-07-22T19:07:08Z
3,spotify:track:6CojsVqHhuurgAv5ggROk2,Weakness - Robinito Remix,"spotify:artist:4FOWaU8YpEU4SsLMMxVeza, spotify:artist:5IZxm0JPsdsVgA1GiYRXRs, spotify:artist:7kXDaUD3imvM6el5qK6tAu, spotify:artist:6p5mcjCVGIabWKyJM9QHUL","Arensky, Joan Ember, Harley Bird, Robinito",spotify:album:0cF0guj6nWDZNXnXI2Au7B,Weakness (Remixes),"spotify:artist:4FOWaU8YpEU4SsLMMxVeza, spotify:artist:5IZxm0JPsdsVgA1GiYRXRs, spotify:artist:7kXDaUD3imvM6el5qK6tAu","Arensky, Joan Ember, Harley Bird",2023-06-30,https://i.scdn.co/image/ab67616d0000b2738f3950d2cbeeb616a3b5ab9c,1,1,221484,https://p.scdn.co/mp3-preview/ed4cfee12c754bd3c52d2666a39e662cd9b845af?cid=9950ac751e34487dbbe027c4fd7f8e99,False,24,GX8LE2379286,spotify:user:anyelostylemusic,2023-07-07T02:33:29Z
4,spotify:track:3TV0uB4XI6vBoN7MjOhiAC,Motion (feat. Chris Brown),"spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Ty Dolla $ign, Chris Brown",spotify:album:7tpEGkrQn7roe8BPqSkt3u,Motion (feat. Chris Brown),"spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Ty Dolla $ign, Chris Brown",2023-07-17,https://i.scdn.co/image/ab67616d0000b27304c74c64ea27bcc35caa3f89,1,1,147391,https://p.scdn.co/mp3-preview/8a0fad086184706ed4df04e5b978af364608cd96?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USAT22307343,spotify:user:anyelostylemusic,2023-07-17T20:47:26Z
5,spotify:track:2llNm4KCZsRSCOujqPbJyH,Road To Askja,"spotify:artist:262USoleMKOkSJ5oeiEJ4E, spotify:artist:6i6JIXY2EJgcSfhWIzqozR","Oliver., APAULON",spotify:album:0KWABcL9jcmQdAHrMlLJhu,Road To Askja,"spotify:artist:262USoleMKOkSJ5oeiEJ4E, spotify:artist:6i6JIXY2EJgcSfhWIzqozR","Oliver., APAULON",2023-07-07,https://i.scdn.co/image/ab67616d0000b273c956cdbcc996ec89a4baee1e,1,1,236190,https://p.scdn.co/mp3-preview/0d1c7598d9686946e28d46965304c787f1aa5d47?cid=9950ac751e34487dbbe027c4fd7f8e99,False,32,GX38U2340821,spotify:user:anyelostylemusic,2023-07-10T04:50:42Z
6,spotify:track:0cIrf42vzhCzxF9GnSt8VH,Donde Estés,"spotify:artist:3M8LlWGRnKZ2Em42PTOUyP, spotify:artist:4ADqyJDLuHRPcrbc5NB2sk","Jillian Dowd, Meendez",spotify:album:4VakB1q3UyRz1ZXRfwdCYx,Donde Estés,"spotify:artist:3M8LlWGRnKZ2Em42PTOUyP, spotify:artist:4ADqyJDLuHRPcrbc5NB2sk","Jillian Dowd, Meendez",2023-06-24,https://i.scdn.co/image/ab67616d0000b27394d94bd0c3960ec50bd0b2b0,1,1,186875,https://p.scdn.co/mp3-preview/9ce2539c59b64342f340d53d606c673917a887aa?cid=9950ac751e34487dbbe027c4fd7f8e99,False,35,QM7282367261,spotify:user:anyelostylemusic,2023-06-29T05:17:01Z
7,spotify:track:1SkvtXrUVpj5jhUBAbijpB,Good Old Days,"spotify:artist:4m0eQpwwsV0XZITCzWOnfm, spotify:artist:0nTCgWKkvxKVqpldaLIolY","West Collins, Baiden Holland",spotify:album:227wkkB4dgTl4wmpl6KGSi,Good Old Days,"spotify:artist:4m0eQpwwsV0XZITCzWOnfm, spotify:artist:0nTCgWKkvxKVqpldaLIolY","West Collins, Baiden Holland",2023-06-16,https://i.scdn.co/image/ab67616d0000b273c7a9bddb6a6e8154838673dd,1,1,204608,https://p.scdn.co/mp3-preview/19f8c98b39b6cd0cb3161112dc98b528e58306a1?cid=9950ac751e34487dbbe027c4fd7f8e99,False,28,GX8LD2325735,spotify:user:anyelostylemusic,2023-06-20T17:15:14Z
8,spotify:track:6Rc4SlRy5EgHGZZGYY3ua7,Feel So Real,spotify:artist:4FOWaU8YpEU4SsLMMxVeza,Arensky,spotify:album:0IXjJsxop6LzhMD7Lcsd6A,Feel So Real,spotify:artist:4FOWaU8YpEU4SsLMMxVeza,Arensky,2023-06-23,https://i.scdn.co/image/ab67616d0000b27353851e59061126bea27bcd71,1,1,195722,https://p.scdn.co/mp3-preview/4bf75fa342103b5944ad00575057adcbddea863e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,30,GX38U2314960,spotify:user:anyelostylemusic,2023-06-28T03:10:18Z
9,spotify:track:7xK4iii6HEQfcdJXOt8B5j,sickly sweet - Alan Walker Remix,"spotify:artist:5pWUVnrc1y0FpWZ6VCy0Hg, spotify:artist:7vk5e3vY1uw9plTHJAMwjN","kenzie, Alan Walker",spotify:album:1tmHPiGes5UOMRpToZEGDM,sickly sweet (Alan Walker Remix),"spotify:artist:5pWUVnrc1y0FpWZ6VCy0Hg, spotify:artist:7vk5e3vY1uw9plTHJAMwjN","kenzie, Alan Walker",2023-05-26,https://i.scdn.co/image/ab67616d0000b2738ef3218ab9fc849e81b0170f,1,1,142909,https://p.scdn.co/mp3-preview/741ffc167372d50575465bb9748614b8264c7ab8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,USHR12345916,spotify:user:anyelostylemusic,2023-05-26T17:15:52Z
10,spotify:track:3yC0OXLwq2Dc1DABxvmOus,Another Brick In The Wall,"spotify:artist:4LzdMXcKqbuUv8FBVZJRF5, spotify:artist:6zq6KNF09GUIFltBdxaSb0","Seemon, PRYVT RYN",spotify:album:2wtugRU2M2ZUz7L35zZsE9,Another Brick In The Wall,"spotify:artist:4LzdMXcKqbuUv8FBVZJRF5, spotify:artist:6zq6KNF09GUIFltBdxaSb0","Seemon, PRYVT RYN",2023-06-16,https://i.scdn.co/image/ab67616d0000b273d4ee1fa50050d878c98ea9d8,1,1,164531,https://p.scdn.co/mp3-preview/fb61a1bee2d96f182b27ac7c3289dbf92e09f00a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,25,GX8LE2392653,spotify:user:anyelostylemusic,2023-06-20T17:28:19Z
11,spotify:track:2Rn33sst2kxT7xbUl7JS8Q,Inside Me,"spotify:artist:6LDpTjNiu7KySaGUjRCNgB, spotify:artist:24UabMnSboSTsD4BLTywy0","Young Dumbs, Greg Bueddeman",spotify:album:4dnmfLAYGpyX3Z0FSTM3oY,Inside Me,"spotify:artist:6LDpTjNiu7KySaGUjRCNgB, spotify:artist:24UabMnSboSTsD4BLTywy0","Young Dumbs, Greg Bueddeman",2023-06-09,https://i.scdn.co/image/ab67616d0000b2737e289afb89cdc6bec4447dc9,1,1,226745,https://p.scdn.co/mp3-preview/0e612b181e9f7438e1221162eac8cf13ab74d05e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,GX8LE2345057,spotify:user:anyelostylemusic,2023-06-14T04:07:04Z
12,spotify:track:6dFT8CWQ2UbVtAe0rIH6UZ,B.O.T.A (Baddest Of Them All),spotify:artist:3nmqeTE8WbcpAiz9VBHIkk,NCPTN,spotify:album:5ob5SZm5cQvkrbq84iuWeE,B.O.T.A (Baddest Of Them All),spotify:artist:3nmqeTE8WbcpAiz9VBHIkk,NCPTN,2023-06-02,https://i.scdn.co/image/ab67616d0000b273cbb1815867882e7914b10ea8,1,1,143877,https://p.scdn.co/mp3-preview/d26a3822a41fb237f9e969a4f6d8eff3457b7d7c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,28,GX8LE2328239,spotify:user:anyelostylemusic,2023-06-05T05:02:08Z
13,spotify:track:1ApUqurWSoGzBMdnCyOFyd,Cicatrices,spotify:artist:39qEkFigigWmyelrtF2QmI,Vale Ramirez,spotify:album:59Dqnv7fEiRrfCWHspXTeZ,Cicatrices,spotify:artist:39qEkFigigWmyelrtF2QmI,Vale Ramirez,2023-05-25,https://i.scdn.co/image/ab67616d0000b2731575e01e2e41949437f85645,1,1,175660,https://p.scdn.co/mp3-preview/162971c250f61af1030ef562254a259f903a3020?cid=9950ac751e34487dbbe027c4fd7f8e99,False,25,QM6N22379246,spotify:user:anyelostylemusic,2023-05-25T05:19:39Z
14,spotify:track:07fbDnkKdZGk1gLvknxrns,RUNAWAY,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,spotify:album:1ZltEbn50sQMxoD5TvbNXe,RUNAWAY,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,2023-05-26,https://i.scdn.co/image/ab67616d0000b273587d488364806d8961317390,1,1,143264,https://p.scdn.co/mp3-preview/b6a3d499c9e437aa39811c64d4f437453464a219?cid=9950ac751e34487dbbe027c4fd7f8e99,False,83,USUM72304684,spotify:user:anyelostylemusic,2023-05-26T17:27:05Z
15,spotify:track:70CeoyKa6hEXbH7GrP1TgR,Next To Me - TL21 Remix,"spotify:artist:4Ou5vIcBZCE0sm7v83BknT, spotify:artist:7rpwv8glIP5L0lD8UPNgtc, spotify:artist:47lxWZZWMtEqp4FXtHeaC7, spotify:artist:05qvZreQgj82j4gXKT6K0T, spotify:artist:13W3v2tI13xlPTixXKR749","H Lazer, Arlane, PLV Music, Robbie Hutton, Tl21",spotify:album:0vxdr4N8PatRJaC7zm3SkL,Next To Me (Remixes),"spotify:artist:4Ou5vIcBZCE0sm7v83BknT, spotify:artist:7rpwv8glIP5L0lD8UPNgtc, spotify:artist:47lxWZZWMtEqp4FXtHeaC7","H Lazer, Arlane, PLV Music",2023-05-26,https://i.scdn.co/image/ab67616d0000b273b7819982177fa74e333115c8,1,3,186857,https://p.scdn.co/mp3-preview/53d4ef199eacecdca114bd9d35cabcb9d011df46?cid=9950ac751e34487dbbe027c4fd7f8e99,False,14,GX8LE2372119,spotify:user:anyelostylemusic,2023-06-02T05:50:42Z
16,spotify:track:0QsuQATrErVKGZUyQ2bkS3,Carry On,"spotify:artist:54XePvvWvcqPr7Jj95qOWX, spotify:artist:5dldJJMdX2ULKp8NdpNoAd, spotify:artist:0nTCgWKkvxKVqpldaLIolY","Fablers, Impulse, Baiden Holland",spotify:album:3n5l4votZAnbxHd2YnkGqx,Carry On,"spotify:artist:54XePvvWvcqPr7Jj95qOWX, spotify:artist:5dldJJMdX2ULKp8NdpNoAd, spotify:artist:0nTCgWKkvxKVqpldaLIolY","Fablers, Impulse, Baiden Holland",2023-05-18,https://i.scdn.co/image/ab67616d0000b2738b2ccb396a4e213d05f72c95,1,1,236031,https://p.scdn.co/mp3-preview/d7a49903b5b1f5f84a5d56c0318d5678413870ec?cid=9950ac751e34487dbbe027c4fd7f8e99,False,26,GX8LD2300553,spotify:user:anyelostylemusic,2023-05-21T17:33:43Z
