,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
0,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,spotify:album:3AafSrFIbJPH6BJHiJm1Cd,"What Was I Made For? [From The Motion Picture ""Barbie""]",spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,2023-07-13,https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e,1,1,222369,https://p.scdn.co/mp3-preview/e58c595e821ffdbd514afa7c8baa20c4bdf74a4a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,98,USUM72307484,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-08-10T07:29:07Z
1,spotify:track:1odExI7RdWc4BT515LTAwj,Daylight,spotify:artist:33NVpKoXjItPwUJTMZIOiY,David Kushner,spotify:album:6NcI39WPu4kY6Tul11nhSv,Daylight,spotify:artist:33NVpKoXjItPwUJTMZIOiY,David Kushner,2023-04-14,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,1,1,212953,https://p.scdn.co/mp3-preview/43c7e8d0c7af7fdddfeb56e2b8b8a091e2091a99?cid=9950ac751e34487dbbe027c4fd7f8e99,False,96,QZXDB2300005,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-04-20T14:52:45Z
2,spotify:track:5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,spotify:album:78bpIziExqiI9qztvNFlQu,AM,spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,2013-09-09,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,1,12,183956,https://p.scdn.co/mp3-preview/07de30bde8363d9ff78b72339245c151f67af451?cid=9950ac751e34487dbbe027c4fd7f8e99,False,94,GBCEL1300373,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-07-10T14:23:16Z
3,spotify:track:6GGtHZgBycCgGBUhZo81xe,Say Yes To Heaven,spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,spotify:album:6jVg0POvGYH1Pt6lISl3ok,Say Yes To Heaven,spotify:artist:00FQb4jTyendYWaN8pK0wa,Lana Del Rey,2023-05-19,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,1,1,209156,https://p.scdn.co/mp3-preview/ebc7b240dcbd586c553da04940c7f5c5112be917?cid=9950ac751e34487dbbe027c4fd7f8e99,False,90,GBUM72304301,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-06-05T09:26:42Z
4,spotify:track:3JvKfv6T31zO0ini8iNItO,Another Love,spotify:artist:2txHhyCwHjUEpJjWrEyqyX,Tom Odell,spotify:album:0Gf1yE895FKK4YWVRuAeg8,Long Way Down (Deluxe),spotify:artist:2txHhyCwHjUEpJjWrEyqyX,Tom Odell,2013-06-24,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,1,3,244360,https://p.scdn.co/mp3-preview/0369cb748bc968ffd34fb4ac60f5403f2aad032f?cid=9950ac751e34487dbbe027c4fd7f8e99,True,91,GBARL1300107,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2021-05-10T13:31:55Z
5,spotify:track:3W5KHP0Yr56ejVDns9vci3,Wish You The Best,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,spotify:album:7dhkqX7ovYADB1xwZr9bwS,Wish You The Best,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,2023-04-14,https://i.scdn.co/image/ab67616d0000b273f4b2bcecd4647b0ba6f59e0b,1,1,210880,,False,55,DEUM72206010,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-04-28T14:41:51Z
6,spotify:track:3NRql0A1Ef4RCvT473iqgD,Hell N Back,spotify:artist:3K2Srho6NCF3o9MswGR76H,Bakar,spotify:album:3aEdbaJGWXbBxn79DgjamF,Hell N Back,spotify:artist:3K2Srho6NCF3o9MswGR76H,Bakar,2019-08-15,https://i.scdn.co/image/ab67616d0000b273b6aa65ea45fef5e36dfe1a45,1,1,213573,https://p.scdn.co/mp3-preview/16f7a5ee995c64abdfe74578a0abf6e37c5129ee?cid=9950ac751e34487dbbe027c4fd7f8e99,True,83,GBARL1900848,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-03-24T15:28:54Z
7,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,"spotify:artist:5XKFrudbV4IiuE5WuTPRmT, spotify:artist:7o2ZQYM7nTsaVdkXY38UAA","Stephen Sanchez, Em Beihold",spotify:album:7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),"spotify:artist:5XKFrudbV4IiuE5WuTPRmT, spotify:artist:7o2ZQYM7nTsaVdkXY38UAA","Stephen Sanchez, Em Beihold",2022-04-22,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244,1,1,176440,https://p.scdn.co/mp3-preview/b3a1f2337811888fd2264a908987a60d4ad01774?cid=9950ac751e34487dbbe027c4fd7f8e99,False,91,USUG12202266,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-02-24T14:39:00Z
8,spotify:track:1yHVHoz6Ny29gbbWJYVnFt,Heaven,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,spotify:album:6IbldUF7xzRJuUDEApUCS3,Heaven,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,2023-02-17,https://i.scdn.co/image/ab67616d0000b273723c6c01155c023a9a9f8cf0,1,1,186043,,False,61,USUG12300779,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-08-03T14:04:31Z
9,spotify:track:3k79jB4aGmMDUQzEwa46Rz,vampire,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,spotify:album:5kqfR7EuGbyp8x27Pr1kY9,vampire,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,2023-06-30,https://i.scdn.co/image/ab67616d0000b2731e5e75dc1d878a0007cb6525,1,1,219724,https://p.scdn.co/mp3-preview/f0e20e86946a0f01d0352ce0371faff987455d73?cid=9950ac751e34487dbbe027c4fd7f8e99,True,98,USUG12304091,spotify:user:21ifzjxggdajdpc4w6iqxslkq,2023-07-11T11:52:41Z
